"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Kifbp","T_cells",-0.0493,4.35,0.0546,0.821,0.89,0.901,"WB","Compartment","muscat_edgeR"
"Ddx21","T_cells",0.54,7.2,7.7,0.0228,0.0862,0.104,"WB","Compartment","muscat_edgeR"
"Ddx50","T_cells",0.47,6.91,8.69,0.0173,0.0739,0.0897,"WB","Compartment","muscat_edgeR"
"Ccar1","T_cells",0.437,6.98,7.09,0.0272,0.0961,0.115,"WB","Compartment","muscat_edgeR"
"Tet1","T_cells",-0.612,4.15,2.46,0.153,0.29,0.325,"WB","Compartment","muscat_edgeR"
"Slc25a16","T_cells",-0.139,4.07,0.468,0.512,0.655,0.682,"WB","Compartment","muscat_edgeR"
"Rufy2","T_cells",-0.114,5.79,0.272,0.615,0.739,0.761,"WB","Compartment","muscat_edgeR"
"Hnrnph3","T_cells",0.145,6.51,0.518,0.491,0.635,0.664,"WB","Compartment","muscat_edgeR"
"Pbld1","T_cells",-4.74,0.267,17.4,0.00157,0.0231,0.0255,"WB","Compartment","muscat_edgeR"
"Herc4","T_cells",-0.111,8.08,0.404,0.542,0.681,0.706,"WB","Compartment","muscat_edgeR"
"Sirt1","T_cells",-0.499,5.1,2.45,0.154,0.29,0.326,"WB","Compartment","muscat_edgeR"
"Reep3","T_cells",-0.423,5.74,6.78,0.0299,0.101,0.122,"WB","Compartment","muscat_edgeR"
"Jmjd1c","T_cells",0.39,8.11,4.53,0.0641,0.162,0.19,"WB","Compartment","muscat_edgeR"
"Nrbf2","T_cells",0.104,5.03,0.339,0.576,0.708,0.731,"WB","Compartment","muscat_edgeR"
"Ado","T_cells",-0.963,3.67,3.77,0.0862,0.196,0.227,"WB","Compartment","muscat_edgeR"
"Arid5b","T_cells",-0.237,8.2,1.85,0.208,0.356,0.392,"WB","Compartment","muscat_edgeR"
"Cabcoco1","T_cells",-0.658,3.23,6.1,0.0372,0.116,0.138,"WB","Compartment","muscat_edgeR"
"Cdk1","T_cells",-2.91,1.2,18.2,0.00218,0.0267,0.0305,"WB","Compartment","muscat_edgeR"
"Ccdc6","T_cells",-0.903,5.48,18.9,0.00213,0.0265,0.0302,"WB","Compartment","muscat_edgeR"
"Tfam","T_cells",0.159,5.62,0.723,0.418,0.571,0.602,"WB","Compartment","muscat_edgeR"
"Ube2d1","T_cells",0.438,5.67,3.86,0.0828,0.19,0.222,"WB","Compartment","muscat_edgeR"
"Cisd1","T_cells",0.331,4.1,1.28,0.289,0.446,0.48,"WB","Compartment","muscat_edgeR"
"Ipmk","T_cells",-0.722,4.33,8.29,0.0193,0.0783,0.095,"WB","Compartment","muscat_edgeR"
"Zwint","T_cells",0.561,5.56,7.66,0.023,0.0868,0.105,"WB","Compartment","muscat_edgeR"
"Bcr","T_cells",-0.862,4.83,16.4,0.00323,0.0308,0.0367,"WB","Compartment","muscat_edgeR"
"Specc1l","T_cells",-0.192,6.32,0.898,0.37,0.526,0.558,"WB","Compartment","muscat_edgeR"
"Adora2a","T_cells",-1.04,4.83,11.1,0.00945,0.053,0.0647,"WB","Compartment","muscat_edgeR"
"Gucd1","T_cells",-0.224,4.71,0.807,0.394,0.548,0.58,"WB","Compartment","muscat_edgeR"
"Snrpd3","T_cells",0.775,7.12,12.7,0.00665,0.0443,0.0537,"WB","Compartment","muscat_edgeR"
"Lrrc75b","T_cells",-1.52,2.66,18.5,0.00229,0.027,0.0311,"WB","Compartment","muscat_edgeR"
"Ggt1","T_cells",0.801,3.8,3.54,0.0946,0.209,0.241,"WB","Compartment","muscat_edgeR"
"Ggt5","T_cells",-0.267,3.95,0.402,0.543,0.681,0.707,"WB","Compartment","muscat_edgeR"
"Cabin1","T_cells",-0.152,6.85,0.593,0.462,0.611,0.64,"WB","Compartment","muscat_edgeR"
"Ddt","T_cells",0.77,5,6.28,0.0351,0.112,0.134,"WB","Compartment","muscat_edgeR"
"Gstt2","T_cells",-0.0665,4.95,0.161,0.699,0.804,0.821,"WB","Compartment","muscat_edgeR"
"Mif","T_cells",0.679,7.78,12.9,0.00634,0.0434,0.0522,"WB","Compartment","muscat_edgeR"
"Smarcb1","T_cells",-0.0368,5.19,0.0514,0.826,0.894,0.904,"WB","Compartment","muscat_edgeR"
"Chchd10","T_cells",0.649,4.25,4.87,0.0566,0.151,0.177,"WB","Compartment","muscat_edgeR"
"Zfp280b","T_cells",0.223,3.69,0.539,0.483,0.628,0.657,"WB","Compartment","muscat_edgeR"
"Prmt2","T_cells",-0.2,3.31,0.459,0.516,0.659,0.686,"WB","Compartment","muscat_edgeR"
"Dip2a","T_cells",-0.945,2.92,3.4,0.101,0.217,0.249,"WB","Compartment","muscat_edgeR"
"Pcnt","T_cells",-0.0112,6.86,0.0063,0.939,0.964,0.967,"WB","Compartment","muscat_edgeR"
"Mcm3ap","T_cells",-0.0443,5.62,0.0657,0.804,0.879,0.89,"WB","Compartment","muscat_edgeR"
"Lss","T_cells",-0.326,2.71,0.864,0.378,0.534,0.566,"WB","Compartment","muscat_edgeR"
"Pcbp3","T_cells",-0.458,4.18,2.52,0.149,0.284,0.319,"WB","Compartment","muscat_edgeR"
"Slc19a1","T_cells",-0.0388,3.47,0.0259,0.876,0.925,0.932,"WB","Compartment","muscat_edgeR"
"Pofut2","T_cells",0.877,4.05,9.99,0.0125,0.0612,0.075,"WB","Compartment","muscat_edgeR"
"Fam207a","T_cells",0.194,4.77,0.896,0.37,0.526,0.558,"WB","Compartment","muscat_edgeR"
"Itgb2","T_cells",0.072,7.84,0.121,0.737,0.832,0.847,"WB","Compartment","muscat_edgeR"
"Pttg1ip","T_cells",0.974,5.62,22.9,0.00116,0.0207,0.022,"WB","Compartment","muscat_edgeR"
"Sumo3","T_cells",0.447,5.15,5.81,0.0408,0.122,0.146,"WB","Compartment","muscat_edgeR"
"Ube2g2","T_cells",0.386,4.97,4.03,0.0776,0.183,0.214,"WB","Compartment","muscat_edgeR"
"Trpm2","T_cells",-3.56,1.61,19.5,0.00189,0.0253,0.0283,"WB","Compartment","muscat_edgeR"
"Pfkl","T_cells",0.25,5.1,1.03,0.337,0.494,0.527,"WB","Compartment","muscat_edgeR"
"Icosl","T_cells",-0.821,2.38,3.13,0.112,0.234,0.267,"WB","Compartment","muscat_edgeR"
"Gatd3a","T_cells",-0.0603,5.01,0.125,0.732,0.829,0.843,"WB","Compartment","muscat_edgeR"
"Pwp2","T_cells",-0.205,4.28,0.334,0.578,0.71,0.733,"WB","Compartment","muscat_edgeR"
"Trappc10","T_cells",-0.184,5.69,0.39,0.549,0.686,0.712,"WB","Compartment","muscat_edgeR"
"Agpat3","T_cells",-0.298,6.19,2.83,0.129,0.257,0.291,"WB","Compartment","muscat_edgeR"
"Rrp1","T_cells",0.423,7,3.2,0.109,0.23,0.263,"WB","Compartment","muscat_edgeR"
"Cstb","T_cells",0.734,5.07,6.17,0.0363,0.114,0.136,"WB","Compartment","muscat_edgeR"
"Pdxk","T_cells",-0.211,3.72,0.728,0.417,0.57,0.6,"WB","Compartment","muscat_edgeR"
"Ilvbl","T_cells",0.501,4.82,8.77,0.017,0.0733,0.0889,"WB","Compartment","muscat_edgeR"
"Syde1","T_cells",-0.515,1.7,0.741,0.411,0.564,0.595,"WB","Compartment","muscat_edgeR"
"2610008E11Rik","T_cells",-0.593,4.56,6.8,0.0297,0.101,0.121,"WB","Compartment","muscat_edgeR"
"Gm47015","T_cells",1.64,4.96,33.6,0.00033,0.013,0.0117,"WB","Compartment","muscat_edgeR"
"Mier2","T_cells",0.376,3.52,1.92,0.201,0.348,0.384,"WB","Compartment","muscat_edgeR"
"Tpgs1","T_cells",0.264,4.39,1.61,0.238,0.39,0.425,"WB","Compartment","muscat_edgeR"
"Cdc34","T_cells",-0.284,4.54,0.347,0.571,0.704,0.729,"WB","Compartment","muscat_edgeR"
"Gzmm","T_cells",1.67,2.95,5.42,0.0432,0.127,0.151,"WB","Compartment","muscat_edgeR"
"Bsg","T_cells",0.639,6.73,16.5,0.00318,0.0306,0.0363,"WB","Compartment","muscat_edgeR"
"Polrmt","T_cells",-0.106,3.7,0.173,0.688,0.797,0.814,"WB","Compartment","muscat_edgeR"
"Rnf126","T_cells",0.502,5.27,2.26,0.169,0.309,0.344,"WB","Compartment","muscat_edgeR"
"Palm","T_cells",-1.94,0.99,7.42,0.0224,0.0853,0.103,"WB","Compartment","muscat_edgeR"
"E130317F20Rik","T_cells",0.157,2.26,0.155,0.703,0.808,0.824,"WB","Compartment","muscat_edgeR"
"Ptbp1","T_cells",0.701,7.16,26.3,0.000743,0.0174,0.0179,"WB","Compartment","muscat_edgeR"
"Prtn3","T_cells",-7.87,4.33,178,0.000000207,0.000451,0.000269,"WB","Compartment","muscat_edgeR"
"Elane","T_cells",-9.97,4.99,205,0.000000111,0.000302,0.000176,"WB","Compartment","muscat_edgeR"
"Med16","T_cells",0.128,3.83,0.369,0.559,0.695,0.72,"WB","Compartment","muscat_edgeR"
"R3hdm4","T_cells",0.423,6.16,6.26,0.0352,0.112,0.134,"WB","Compartment","muscat_edgeR"
"Arid3a","T_cells",-1.1,3.55,8.72,0.0173,0.0739,0.0897,"WB","Compartment","muscat_edgeR"
"Wdr18","T_cells",0.411,5,3.4,0.1,0.217,0.249,"WB","Compartment","muscat_edgeR"
"Tmem259","T_cells",-0.481,5.34,2.57,0.145,0.279,0.314,"WB","Compartment","muscat_edgeR"
"Cnn2","T_cells",0.444,8.45,6.64,0.0312,0.104,0.125,"WB","Compartment","muscat_edgeR"
"Abca7","T_cells",-0.419,5.7,4.32,0.0692,0.171,0.2,"WB","Compartment","muscat_edgeR"
"Arhgap45","T_cells",-0.215,9.51,1.19,0.305,0.463,0.496,"WB","Compartment","muscat_edgeR"
"Polr2e","T_cells",0.344,6.23,4.81,0.0577,0.152,0.179,"WB","Compartment","muscat_edgeR"
"Gpx4","T_cells",0.39,7.59,3.5,0.0963,0.211,0.243,"WB","Compartment","muscat_edgeR"
"Sbno2","T_cells",0.416,5.84,1.97,0.196,0.342,0.378,"WB","Compartment","muscat_edgeR"
"Stk11","T_cells",-0.0114,5.79,0.00358,0.954,0.974,0.976,"WB","Compartment","muscat_edgeR"
"Cbarp","T_cells",0.398,3.73,2.09,0.184,0.328,0.363,"WB","Compartment","muscat_edgeR"
"Atp5d","T_cells",0.608,7.97,15,0.00424,0.0353,0.0422,"WB","Compartment","muscat_edgeR"
"Midn","T_cells",0.175,5.35,0.757,0.408,0.562,0.593,"WB","Compartment","muscat_edgeR"
"Cirbp","T_cells",-0.0279,6.28,0.0216,0.887,0.932,0.939,"WB","Compartment","muscat_edgeR"
"Fam174c","T_cells",0.853,4.04,7.85,0.0219,0.0843,0.102,"WB","Compartment","muscat_edgeR"
"Pwwp3a","T_cells",-0.348,5.22,2.44,0.155,0.291,0.327,"WB","Compartment","muscat_edgeR"
"Ndufs7","T_cells",0.157,6.71,0.981,0.349,0.506,0.539,"WB","Compartment","muscat_edgeR"
"Dazap1","T_cells",0.248,6.37,1.62,0.237,0.389,0.424,"WB","Compartment","muscat_edgeR"
"Rps15","T_cells",1.26,11,11.7,0.00827,0.0495,0.0601,"WB","Compartment","muscat_edgeR"
"2310011J03Rik","T_cells",-0.0561,4.75,0.0851,0.778,0.861,0.873,"WB","Compartment","muscat_edgeR"
"Pcsk4","T_cells",0.063,2.5,0.0243,0.88,0.927,0.934,"WB","Compartment","muscat_edgeR"
"Mex3d","T_cells",-0.169,1.52,0.064,0.805,0.879,0.891,"WB","Compartment","muscat_edgeR"
"Mbd3","T_cells",0.225,6.07,1.04,0.335,0.492,0.525,"WB","Compartment","muscat_edgeR"
"Uqcr11","T_cells",0.603,5.31,2.83,0.129,0.257,0.291,"WB","Compartment","muscat_edgeR"
"Tcf3","T_cells",-0.0942,5.74,0.236,0.639,0.757,0.779,"WB","Compartment","muscat_edgeR"
"Rexo1","T_cells",0.413,5.97,3.78,0.0857,0.195,0.226,"WB","Compartment","muscat_edgeR"
"Klf16","T_cells",0.905,3.83,8.23,0.0197,0.079,0.0961,"WB","Compartment","muscat_edgeR"
"Abhd17a","T_cells",0.258,5.62,1.3,0.285,0.442,0.476,"WB","Compartment","muscat_edgeR"
"Scamp4","T_cells",1.18,4.29,16.6,0.00317,0.0305,0.0363,"WB","Compartment","muscat_edgeR"
"Csnk1g2","T_cells",-0.233,6.24,0.343,0.573,0.706,0.73,"WB","Compartment","muscat_edgeR"
"Btbd2","T_cells",-0.534,3.69,1.28,0.289,0.446,0.48,"WB","Compartment","muscat_edgeR"
"Mknk2","T_cells",-0.0611,6.62,0.017,0.899,0.94,0.945,"WB","Compartment","muscat_edgeR"
"Mob3a","T_cells",-0.138,6.57,0.316,0.589,0.718,0.741,"WB","Compartment","muscat_edgeR"
"Izumo4","T_cells",-0.0787,4.87,0.115,0.743,0.835,0.85,"WB","Compartment","muscat_edgeR"
"Ap3d1","T_cells",-0.177,6.28,1.25,0.294,0.451,0.485,"WB","Compartment","muscat_edgeR"
"Dot1l","T_cells",0.512,5.64,9.15,0.0153,0.0687,0.0835,"WB","Compartment","muscat_edgeR"
"Plekhj1","T_cells",0.313,6.43,2.64,0.141,0.273,0.308,"WB","Compartment","muscat_edgeR"
"Sf3a2","T_cells",0.54,5.44,6.3,0.0347,0.111,0.133,"WB","Compartment","muscat_edgeR"
"Oaz1","T_cells",0.995,8.79,28,0.000599,0.0157,0.0157,"WB","Compartment","muscat_edgeR"
"Lsm7","T_cells",0.512,5.61,3.44,0.0985,0.215,0.246,"WB","Compartment","muscat_edgeR"
"Sppl2b","T_cells",-0.152,3.41,0.198,0.667,0.782,0.8,"WB","Compartment","muscat_edgeR"
"Timm13","T_cells",0.507,6.57,6.8,0.0297,0.101,0.121,"WB","Compartment","muscat_edgeR"
"Lmnb2","T_cells",-0.00272,3.59,0.0000563,0.994,0.997,0.997,"WB","Compartment","muscat_edgeR"
"Gadd45b","T_cells",-0.749,4.58,9.48,0.0141,0.0658,0.0802,"WB","Compartment","muscat_edgeR"
"Slc39a3","T_cells",-0.169,3.16,0.291,0.603,0.729,0.752,"WB","Compartment","muscat_edgeR"
"Sgta","T_cells",0.488,4.84,5.29,0.0488,0.137,0.161,"WB","Compartment","muscat_edgeR"
"Map2k2","T_cells",0.394,6.61,8.24,0.0196,0.0788,0.0958,"WB","Compartment","muscat_edgeR"
"Zbtb7a","T_cells",0.263,6.66,3.16,0.111,0.233,0.266,"WB","Compartment","muscat_edgeR"
"Pias4","T_cells",-0.0452,4.73,0.0374,0.851,0.91,0.918,"WB","Compartment","muscat_edgeR"
"Eef2","T_cells",0.863,10.8,8.57,0.0179,0.075,0.091,"WB","Compartment","muscat_edgeR"
"Dapk3","T_cells",-0.0855,4.64,0.0235,0.882,0.929,0.936,"WB","Compartment","muscat_edgeR"
"Matk","T_cells",0.167,3.96,0.292,0.603,0.729,0.752,"WB","Compartment","muscat_edgeR"
"Mrpl54","T_cells",0.301,5.27,1.66,0.232,0.384,0.419,"WB","Compartment","muscat_edgeR"
"Apba3","T_cells",0.879,3.38,3.79,0.0849,0.194,0.225,"WB","Compartment","muscat_edgeR"
"Tjp3","T_cells",-1.46,1.95,7.43,0.0241,0.0891,0.107,"WB","Compartment","muscat_edgeR"
"Pip5k1c","T_cells",-0.318,5.63,2.79,0.131,0.26,0.294,"WB","Compartment","muscat_edgeR"
"Cactin","T_cells",-0.139,4.55,0.415,0.536,0.676,0.701,"WB","Compartment","muscat_edgeR"
"Tbxa2r","T_cells",-0.578,5.41,4.26,0.0708,0.174,0.202,"WB","Compartment","muscat_edgeR"
"Hmg20b","T_cells",0.133,4.91,0.238,0.638,0.757,0.778,"WB","Compartment","muscat_edgeR"
"Fzr1","T_cells",-0.0315,4.1,0.0238,0.881,0.928,0.935,"WB","Compartment","muscat_edgeR"
"Dohh","T_cells",0.821,4.51,17.2,0.00287,0.0292,0.0347,"WB","Compartment","muscat_edgeR"
"Smim24","T_cells",0.0957,2.23,0.036,0.854,0.912,0.92,"WB","Compartment","muscat_edgeR"
"Nfic","T_cells",-0.972,4.93,16.9,0.003,0.0296,0.0353,"WB","Compartment","muscat_edgeR"
"Ncln","T_cells",-0.518,5.49,2.48,0.152,0.288,0.323,"WB","Compartment","muscat_edgeR"
"S1pr4","T_cells",0.263,6.28,2.72,0.135,0.266,0.3,"WB","Compartment","muscat_edgeR"
"Gna15","T_cells",-0.206,4.36,0.173,0.688,0.797,0.814,"WB","Compartment","muscat_edgeR"
"Gna11","T_cells",-1.08,4.29,23.5,0.00107,0.02,0.0213,"WB","Compartment","muscat_edgeR"
"Tle5","T_cells",0.0494,8.11,0.00897,0.927,0.957,0.96,"WB","Compartment","muscat_edgeR"
"BC025920","T_cells",0.0366,2.02,0.00478,0.946,0.969,0.972,"WB","Compartment","muscat_edgeR"
"Sirt6","T_cells",0.0712,3.32,0.0637,0.807,0.88,0.892,"WB","Compartment","muscat_edgeR"
"Gm10778","T_cells",-1.57,2.52,18.6,0.00222,0.0268,0.0308,"WB","Compartment","muscat_edgeR"
"Zfp433","T_cells",-1.35,1.28,4.56,0.0602,0.156,0.184,"WB","Compartment","muscat_edgeR"
"Zfp873","T_cells",-0.455,3.05,1.67,0.231,0.382,0.417,"WB","Compartment","muscat_edgeR"
"AU041133","T_cells",-0.656,4.03,5.93,0.0392,0.119,0.142,"WB","Compartment","muscat_edgeR"
"Zfp938","T_cells",-0.275,3.46,0.948,0.357,0.514,0.546,"WB","Compartment","muscat_edgeR"
"Gm4924","T_cells",-0.853,2.61,4,0.0784,0.185,0.215,"WB","Compartment","muscat_edgeR"
"Uqcc6","T_cells",-0.0543,3.98,0.0397,0.847,0.907,0.916,"WB","Compartment","muscat_edgeR"
"Tdg","T_cells",0.705,5.16,12,0.00781,0.0481,0.0583,"WB","Compartment","muscat_edgeR"
"Hcfc2","T_cells",0.395,4.76,3.26,0.107,0.226,0.258,"WB","Compartment","muscat_edgeR"
"Nfyb","T_cells",-0.253,5.41,1.77,0.218,0.368,0.403,"WB","Compartment","muscat_edgeR"
"Txnrd1","T_cells",-0.176,6.09,0.893,0.371,0.526,0.558,"WB","Compartment","muscat_edgeR"
"Chst11","T_cells",-2.63,6.3,15.1,0.00408,0.0347,0.0415,"WB","Compartment","muscat_edgeR"
"Slc41a2","T_cells",-0.144,1.72,0.0217,0.886,0.931,0.938,"WB","Compartment","muscat_edgeR"
"Nopchap1","T_cells",-0.137,5.2,0.602,0.459,0.608,0.638,"WB","Compartment","muscat_edgeR"
"Washc4","T_cells",0.511,7.22,7.97,0.0211,0.0824,0.0999,"WB","Compartment","muscat_edgeR"
"Appl2","T_cells",0.0897,5.34,0.124,0.733,0.829,0.844,"WB","Compartment","muscat_edgeR"
"Ckap4","T_cells",-3.05,2.69,15.4,0.00398,0.0342,0.0409,"WB","Compartment","muscat_edgeR"
"Tcp11l2","T_cells",1.2,7.31,21.6,0.0014,0.0219,0.0241,"WB","Compartment","muscat_edgeR"
"Polr3b","T_cells",0.00166,6.56,0.0000428,0.995,0.997,0.997,"WB","Compartment","muscat_edgeR"
"Ric8b","T_cells",-0.0664,6.28,0.0496,0.829,0.896,0.906,"WB","Compartment","muscat_edgeR"
"Tmem263","T_cells",-0.373,3.6,1.47,0.258,0.413,0.448,"WB","Compartment","muscat_edgeR"
"Mterf2","T_cells",-0.429,2.88,1.86,0.208,0.356,0.392,"WB","Compartment","muscat_edgeR"
"Cry1","T_cells",0.719,5.5,17.3,0.00276,0.029,0.0342,"WB","Compartment","muscat_edgeR"
"Abtb3","T_cells",-0.752,7.88,8.91,0.0163,0.0716,0.0868,"WB","Compartment","muscat_edgeR"
"Pwp1","T_cells",0.053,5.16,0.073,0.793,0.872,0.884,"WB","Compartment","muscat_edgeR"
"Prdm4","T_cells",-0.343,4.23,1.71,0.225,0.376,0.412,"WB","Compartment","muscat_edgeR"
"Rtcb","T_cells",0.417,6.24,5.69,0.0424,0.125,0.149,"WB","Compartment","muscat_edgeR"
"Fbxo7","T_cells",-0.187,5.13,0.809,0.393,0.548,0.58,"WB","Compartment","muscat_edgeR"
"1810014B01Rik","T_cells",-0.133,2.87,0.099,0.761,0.848,0.862,"WB","Compartment","muscat_edgeR"
"Hsp90b1","T_cells",0.674,8.38,17.9,0.00249,0.0278,0.0324,"WB","Compartment","muscat_edgeR"
"Nt5dc3","T_cells",-0.535,4.94,7.26,0.0259,0.0929,0.112,"WB","Compartment","muscat_edgeR"
"Stab2","T_cells",-5.25,2.76,76.7,0.0000153,0.00476,0.0024,"WB","Compartment","muscat_edgeR"
"1700113H08Rik","T_cells",-3.31,2.1,19.6,0.00192,0.0254,0.0285,"WB","Compartment","muscat_edgeR"
"Nup37","T_cells",-0.289,3.54,0.673,0.435,0.586,0.616,"WB","Compartment","muscat_edgeR"
"Washc3","T_cells",0.0891,6.38,0.138,0.719,0.821,0.835,"WB","Compartment","muscat_edgeR"
"Gnptab","T_cells",-0.285,5.82,1.41,0.267,0.422,0.457,"WB","Compartment","muscat_edgeR"
"Chpt1","T_cells",-0.539,2.78,2.5,0.151,0.286,0.321,"WB","Compartment","muscat_edgeR"
"Arl1","T_cells",0.601,5.03,5.39,0.0471,0.133,0.158,"WB","Compartment","muscat_edgeR"
"Utp20","T_cells",0.144,5.96,0.331,0.58,0.712,0.735,"WB","Compartment","muscat_edgeR"
"Scyl2","T_cells",0.518,5.53,9.49,0.014,0.0656,0.08,"WB","Compartment","muscat_edgeR"
"Actr6","T_cells",-0.148,4.43,0.377,0.555,0.691,0.717,"WB","Compartment","muscat_edgeR"
"Uhrf1bp1l","T_cells",-0.0139,6.62,0.00455,0.948,0.97,0.973,"WB","Compartment","muscat_edgeR"
"Apaf1","T_cells",-0.695,5.27,8.28,0.0193,0.0783,0.095,"WB","Compartment","muscat_edgeR"
"Slc25a3","T_cells",0.761,8.43,15.5,0.00386,0.0337,0.0403,"WB","Compartment","muscat_edgeR"
"Tmpo","T_cells",-0.0645,6.75,0.137,0.721,0.822,0.837,"WB","Compartment","muscat_edgeR"
"Nedd1","T_cells",-0.583,4.7,10.4,0.0112,0.0582,0.071,"WB","Compartment","muscat_edgeR"
"Cfap54","T_cells",-0.497,2.2,0.3,0.597,0.725,0.748,"WB","Compartment","muscat_edgeR"
"Cdk17","T_cells",-0.444,8.2,7.14,0.0268,0.0949,0.114,"WB","Compartment","muscat_edgeR"
"Elk3","T_cells",-1.43,5.91,28.1,0.000599,0.0157,0.0157,"WB","Compartment","muscat_edgeR"
"Gm17745","T_cells",-2.66,1.25,13.5,0.0052,0.0392,0.0472,"WB","Compartment","muscat_edgeR"
"Lta4h","T_cells",-0.271,6.85,2.99,0.12,0.246,0.279,"WB","Compartment","muscat_edgeR"
"Snrpf","T_cells",1.39,6.35,17.2,0.00284,0.0292,0.0347,"WB","Compartment","muscat_edgeR"
"Metap2","T_cells",-0.0714,6.4,0.186,0.677,0.789,0.807,"WB","Compartment","muscat_edgeR"
"Vezt","T_cells",-0.162,4.86,0.595,0.461,0.61,0.64,"WB","Compartment","muscat_edgeR"
"Fgd6","T_cells",0.194,3.24,0.221,0.65,0.766,0.787,"WB","Compartment","muscat_edgeR"
"Nr2c1","T_cells",-0.704,4.31,5.84,0.0404,0.122,0.145,"WB","Compartment","muscat_edgeR"
"Ndufa12","T_cells",0.271,5.53,1.77,0.218,0.368,0.403,"WB","Compartment","muscat_edgeR"
"Tmcc3","T_cells",-1.19,2.4,4.71,0.0597,0.156,0.183,"WB","Compartment","muscat_edgeR"
"Cep83os","T_cells",-0.312,3.31,0.819,0.391,0.546,0.577,"WB","Compartment","muscat_edgeR"
"Cep83","T_cells",0.26,5.68,2.39,0.159,0.296,0.331,"WB","Compartment","muscat_edgeR"
"Plxnc1","T_cells",-1.75,5.17,29.7,0.000493,0.0146,0.0143,"WB","Compartment","muscat_edgeR"
"Cradd","T_cells",-0.589,5.91,11.7,0.00836,0.0497,0.0605,"WB","Compartment","muscat_edgeR"
"Socs2","T_cells",-0.0741,4.57,0.0113,0.918,0.952,0.956,"WB","Compartment","muscat_edgeR"
"Mrpl42","T_cells",0.861,5.49,9.57,0.0138,0.0649,0.0792,"WB","Compartment","muscat_edgeR"
"Ube2n","T_cells",0.461,6.22,4.19,0.0728,0.177,0.206,"WB","Compartment","muscat_edgeR"
"Nudt4","T_cells",-1.38,4.89,14.3,0.00477,0.0377,0.0451,"WB","Compartment","muscat_edgeR"
"4732465J04Rik","T_cells",0.164,2.75,0.164,0.695,0.801,0.818,"WB","Compartment","muscat_edgeR"
"Eea1","T_cells",-1.67,5.64,19.5,0.00194,0.0255,0.0286,"WB","Compartment","muscat_edgeR"
"Gm56972","T_cells",0.32,2.99,1.01,0.342,0.499,0.533,"WB","Compartment","muscat_edgeR"
"Btg1","T_cells",0.956,9.25,14.1,0.00503,0.0388,0.0464,"WB","Compartment","muscat_edgeR"
"Atp2b1","T_cells",0.157,8.28,0.324,0.584,0.715,0.738,"WB","Compartment","muscat_edgeR"
"Poc1b","T_cells",0.187,5.36,0.823,0.389,0.545,0.576,"WB","Compartment","muscat_edgeR"
"Galnt4","T_cells",0.104,3.17,0.114,0.743,0.836,0.85,"WB","Compartment","muscat_edgeR"
"Gm56944","T_cells",1.09,2.22,3.39,0.0948,0.209,0.241,"WB","Compartment","muscat_edgeR"
"Dusp6","T_cells",-0.389,3.45,1.41,0.267,0.423,0.458,"WB","Compartment","muscat_edgeR"
"Tmtc3","T_cells",-1.47,1.73,9.31,0.014,0.0656,0.0799,"WB","Compartment","muscat_edgeR"
"Cep290","T_cells",-0.237,2.83,0.299,0.599,0.725,0.748,"WB","Compartment","muscat_edgeR"
"4930430F08Rik","T_cells",-0.675,2.71,3.97,0.0793,0.186,0.217,"WB","Compartment","muscat_edgeR"
"Tmtc2","T_cells",-1.18,6.11,9.1,0.0155,0.0692,0.0842,"WB","Compartment","muscat_edgeR"
"Mettl25","T_cells",-0.234,4.94,0.533,0.485,0.63,0.659,"WB","Compartment","muscat_edgeR"
"Ccdc59","T_cells",0.35,5.93,5.06,0.0527,0.143,0.169,"WB","Compartment","muscat_edgeR"
"Ppp1r12a","T_cells",-0.107,9.05,0.28,0.611,0.735,0.758,"WB","Compartment","muscat_edgeR"
"Zdhhc17","T_cells",-0.738,5.57,19.6,0.0019,0.0253,0.0283,"WB","Compartment","muscat_edgeR"
"Osbpl8","T_cells",0.331,7.98,5.68,0.0425,0.126,0.15,"WB","Compartment","muscat_edgeR"
"Gm57006","T_cells",-0.146,2.76,0.171,0.69,0.798,0.815,"WB","Compartment","muscat_edgeR"
"Nap1l1","T_cells",0.709,7.65,17.5,0.0027,0.0287,0.0338,"WB","Compartment","muscat_edgeR"
"Phlda1","T_cells",-1.42,3.4,17.4,0.00278,0.0291,0.0344,"WB","Compartment","muscat_edgeR"
"Krr1","T_cells",0.098,5.06,0.293,0.602,0.729,0.752,"WB","Compartment","muscat_edgeR"
"Glipr1","T_cells",0.126,6,0.492,0.502,0.646,0.673,"WB","Compartment","muscat_edgeR"
"Atxn7l3b","T_cells",0.304,6.48,2.93,0.123,0.249,0.283,"WB","Compartment","muscat_edgeR"
"Tbc1d15","T_cells",1.07,6.97,26.1,0.000758,0.0176,0.018,"WB","Compartment","muscat_edgeR"
"Rab21","T_cells",-0.758,6.13,7.33,0.0253,0.0918,0.111,"WB","Compartment","muscat_edgeR"
"Tmem19","T_cells",-0.211,4.75,0.96,0.354,0.511,0.544,"WB","Compartment","muscat_edgeR"
"Thap2","T_cells",-0.333,4.17,1.53,0.249,0.403,0.438,"WB","Compartment","muscat_edgeR"
"Zfc3h1","T_cells",0.122,7.09,0.807,0.394,0.548,0.58,"WB","Compartment","muscat_edgeR"
